# Wavenumber/cm**-1  Wavelength/nm        FC               HT              FCHT
   0.11265000E+05   0.88770658E+03   0.33813179E-05   0.13229037E-04   0.16610355E-04
   0.11270000E+05   0.88731274E+03   0.33842631E-05   0.13235870E-04   0.16620133E-04
   0.11275000E+05   0.88691925E+03   0.33872106E-05   0.13242704E-04   0.16629915E-04
   0.11280000E+05   0.88652611E+03   0.33901603E-05   0.13249540E-04   0.16639700E-04
   0.11285000E+05   0.88613333E+03   0.33931122E-05   0.13256377E-04   0.16649489E-04
   0.11290000E+05   0.88574088E+03   0.33960663E-05   0.13263216E-04   0.16659282E-04
   0.11295000E+05   0.88534879E+03   0.33990226E-05   0.13270056E-04   0.16669078E-04
   0.11300000E+05   0.88495704E+03   0.34019812E-05   0.13276897E-04   0.16678878E-04
   0.11305000E+05   0.88456564E+03   0.34049420E-05   0.13283740E-04   0.16688682E-04
   0.11310000E+05   0.88417459E+03   0.34079050E-05   0.13290584E-04   0.16698489E-04
   0.11315000E+05   0.88378388E+03   0.34108702E-05   0.13297430E-04   0.16708300E-04
   0.11320000E+05   0.88339351E+03   0.34138376E-05   0.13304277E-04   0.16718115E-04
   0.11325000E+05   0.88300349E+03   0.34168073E-05   0.13311126E-04   0.16727933E-04
   0.11330000E+05   0.88261382E+03   0.34197792E-05   0.13317976E-04   0.16737755E-04
   0.11335000E+05   0.88222449E+03   0.34227534E-05   0.13324828E-04   0.16747581E-04
   0.11340000E+05   0.88183550E+03   0.34257298E-05   0.13331681E-04   0.16757411E-04
   0.11345000E+05   0.88144686E+03   0.34287084E-05   0.13338535E-04   0.16767244E-04
   0.11350000E+05   0.88105855E+03   0.34316893E-05   0.13345391E-04   0.16777081E-04
   0.11355000E+05   0.88067059E+03   0.34346724E-05   0.13352249E-04   0.16786921E-04
   0.11360000E+05   0.88028297E+03   0.34376578E-05   0.13359108E-04   0.16796765E-04
   0.11365000E+05   0.87989569E+03   0.34406454E-05   0.13365968E-04   0.16806613E-04
   0.11370000E+05   0.87950876E+03   0.34436353E-05   0.13372830E-04   0.16816465E-04
   0.11375000E+05   0.87912216E+03   0.34466274E-05   0.13379693E-04   0.16826321E-04
   0.11380000E+05   0.87873590E+03   0.34496217E-05   0.13386558E-04   0.16836180E-04
   0.11385000E+05   0.87834998E+03   0.34526184E-05   0.13393424E-04   0.16846043E-04
   0.11390000E+05   0.87796440E+03   0.34556173E-05   0.13400292E-04   0.16855909E-04
   0.11395000E+05   0.87757916E+03   0.34586184E-05   0.13407161E-04   0.16865780E-04
   0.11400000E+05   0.87719426E+03   0.34616218E-05   0.13414032E-04   0.16875654E-04
   0.11405000E+05   0.87680970E+03   0.34646275E-05   0.13420904E-04   0.16885532E-04
   0.11410000E+05   0.87642547E+03   0.34676354E-05   0.13427778E-04   0.16895413E-04
   0.11415000E+05   0.87604157E+03   0.34706456E-05   0.13434653E-04   0.16905299E-04
   0.11420000E+05   0.87565802E+03   0.34736581E-05   0.13441529E-04   0.16915188E-04
   0.11425000E+05   0.87527480E+03   0.34766728E-05   0.13448408E-04   0.16925080E-04
   0.11430000E+05   0.87489191E+03   0.34796899E-05   0.13455287E-04   0.16934977E-04
   0.11435000E+05   0.87450936E+03   0.34827092E-05   0.13462168E-04   0.16944877E-04
   0.11440000E+05   0.87412715E+03   0.34857308E-05   0.13469051E-04   0.16954781E-04
   0.11445000E+05   0.87374527E+03   0.34887546E-05   0.13475935E-04   0.16964689E-04
   0.11450000E+05   0.87336372E+03   0.34917808E-05   0.13482820E-04   0.16974601E-04
   0.11455000E+05   0.87298250E+03   0.34948092E-05   0.13489707E-04   0.16984516E-04
   0.11460000E+05   0.87260162E+03   0.34978399E-05   0.13496596E-04   0.16994436E-04
   0.11465000E+05   0.87222107E+03   0.35008729E-05   0.13503486E-04   0.17004359E-04
   0.11470000E+05   0.87184085E+03   0.35039082E-05   0.13510377E-04   0.17014285E-04
   0.11475000E+05   0.87146096E+03   0.35069458E-05   0.13517270E-04   0.17024216E-04
   0.11480000E+05   0.87108141E+03   0.35099857E-05   0.13524165E-04   0.17034150E-04
   0.11485000E+05   0.87070218E+03   0.35130279E-05   0.13531061E-04   0.17044089E-04
   0.11490000E+05   0.87032329E+03   0.35160724E-05   0.13537958E-04   0.17054030E-04
